question	id
"""What are the current Premier League standings for matchday 30 in the 2024-2025 season?"""	anthropic_onehop_0
"""Show me the list of players with expiring contracts in Spain for 2025."""	anthropic_onehop_1
"""Who are all the injured players in the German Bundesliga right now?"""	anthropic_onehop_2
"""Can you get me the transfer history of Erling Haaland?"""	anthropic_onehop_3
"""What are the current market values of players in the Italian Serie A for the 2024-2025 season?"""	anthropic_onehop_4
"""Which players are currently suspended in the French Ligue 1?"""	anthropic_onehop_5
"""Who are the players at risk of suspension in the English Premier League?"""	anthropic_onehop_6
"""What is the injury history of Kevin De Bruyne?"""	anthropic_onehop_7
"""Show me the squad statistics for FC Barcelona."""	anthropic_onehop_8
"""What is the managerial history of Liverpool FC?"""	anthropic_onehop_9
"""Who are the top 5 most valuable players in the English Premier League this season, and what is their injury history?"""	anthropic_twothreehop_0
"""Compare the transfer activities of Manchester City and Manchester United in the last summer window. Which club spent more?"""	anthropic_twothreehop_1
"""Find all French players in the Premier League with contracts expiring in 2025, and analyze their market values."""	anthropic_twothreehop_2
"""Which managers in the Spanish La Liga have the best win percentage, and what teams did they manage before?"""	anthropic_twothreehop_3
"""Identify Premier League players who have had multiple injuries this season and are currently in the starting lineup."""	anthropic_twothreehop_4
"""Compare the squad age profiles of the top 3 teams in the Bundesliga. Which team has the youngest squad?"""	anthropic_twothreehop_5
"""What is the relationship between player market values and minutes played in Serie A this season?"""	anthropic_twothreehop_6
"""Find all league debutants in the Premier League this season who also have contracts expiring within the next year."""	anthropic_twothreehop_7
"""Which Premier League team has had the most manager changes in the last 5 years, and how has this affected their league position?"""	anthropic_twothreehop_8
"""Analyze the correlation between injuries and team performance for the top 6 teams in La Liga this season."""	anthropic_twothreehop_9
"""Among Premier League managers, which individual sustained the longest uninterrupted spell at the helm despite navigating recurrent disciplinary setbacks within his squad?"""	chatgpt_0
"""In the annals of La Liga during the 2021â€“2022 campaign, which playerâ€™s record for red cardsâ€”and by extension, consequent suspensionsâ€”stood unparalleled?"""	chatgpt_1
"""Can you identify the key Serie A protagonist who, between 2020 and 2024, endured the most protracted sidelining period due to injury-induced absences?"""	chatgpt_2
